# source: MetaTFT · 2026-09-26 (최신 패치 · 최근 3일 · 플래티넘 이상)
S | 달빛 아펠리오스 | 바루스, 다이애나, 감시자, 니달리, 아펠리오스, 바이, 코그모, 아무무 | 빠른 8레벨 · 평균 4.13 · 선택률 0.56 · 승률 9.2% · 순방 59.3%
S | 날렵이 아지르 | 베이가, 아지르, 자이라, 람머스, 티모, 피들스틱, 소라카 | 7레벨 리롤 · 3성 아지르·람머스 · 평균 4.22 · 선택률 0.18 · 승률 14.9% · 순방 55.1%
A | 전쟁기계 자이라 | 시비르, 세주아니, 바위 게, 요릭, 바이, 자이라, 아무무, 마오카이, 애쉬 | 빠른 9레벨 · 평균 4.28 · 선택률 0.26 · 승률 15.2% · 순방 53.5%
A | 주문술사 베이가 | 베이가, 렉사이, 오른, 르블랑, 알리스타, 피들스틱, 카시오페아 | 7레벨 리롤 · 3성 베이가·렉사이·오른·르블랑·알리스타 · 평균 4.28 · 선택률 0.40 · 승률 14.4% · 순방 54.4%
A | 기원자 아리 | 카르마, 조약돌, 돌거북, 감시자, 세트, 모르가나, 아리, 타릭 | 빠른 8레벨 · 평균 4.28 · 선택률 0.38 · 승률 11.9% · 순방 54.8%
A | 속사포 아펠리오스 | 어미 부리, 자야, 바루스, 감시자, 아펠리오스, 아무무, 덩굴정령, 다이애나 | 빠른 8레벨 · 평균 4.31 · 선택률 0.06 · 승률 9.3% · 순방 55.2%
A | 엄호대 카시오페아 | 카시오페아, 쉔, 람머스, 피들스틱, 레오나, 오른, 릴리아 | 7레벨 리롤 · 3성 카시오페아·람머스 · 평균 4.34 · 선택률 0.18 · 승률 9.5% · 순방 53.8%
A | 기원자 모르가나 | 조약돌, 다이애나, 헤카림, 코그모, 덩굴정령, 감시자, 타릭, 모르가나, 알룬 | 빠른 9레벨 · 평균 4.34 · 선택률 0.08 · 승률 13.3% · 순방 52.9%
A | 처형자 소라카 | 요릭, 피들스틱, 아무무, 아지르, 자이라, 소라카, 케넨, 말파이트 | 빠른 8레벨 · 평균 4.34 · 선택률 0.37 · 승률 10.6% · 순방 53.8%
A | 나무정령 이즈리얼 | 아무무, 마오카이, 나르, 이즈리얼, 케넨, 알리스타, 타릭, 드레이븐, 아이번 | 빠른 9레벨 · 평균 4.34 · 선택률 0.38 · 승률 19.3% · 순방 50.7%
A | 개화 렝가 | 마스터 이, 바이, 돌거북, 요릭, 세트, 렝가, 니달리 | 7레벨 리롤 · 3성 마스터 이·렝가 · 평균 4.35 · 선택률 0.09 · 승률 10.9% · 순방 53.2%
A | 처형자 세트 | 오른, 유나라, 이즈리얼, 피들스틱, 알리스타, 세트, 아리, 소라카 | 빠른 8레벨 · 평균 4.36 · 선택률 0.08 · 승률 9.8% · 순방 53.5%
A | 나무정령 아펠리오스 | 오른, 알리스타, 자야, 다이애나, 헤카림, 아펠리오스, 나르, 이즈리얼, 릴리아 | 빠른 9레벨 · 평균 4.39 · 선택률 0.11 · 승률 12.1% · 순방 51.9%
A | 협곡야수 말파이트 | 렉사이, 코그모, 돌거북, 불타는 묘목, 시비르, 말파이트, 니달리, 감시자 | 빠른 8레벨 · 평균 4.44 · 선택률 0.13 · 승률 8.6% · 순방 52.5%
A | 처형자 아지르 | 유나라, 렉사이, 바이, 요릭, 카직스, 아지르, 세트 | 7레벨 리롤 · 3성 카직스·아지르 · 평균 4.45 · 선택률 0.23 · 승률 10.9% · 순방 51.7%
A | 나무정령 카직스 | 오른, 카직스, 헤카림, 소라카, 피들스틱, 다이애나, 이즈리얼 | 7레벨 리롤 · 3성 카직스·헤카림 · 평균 4.45 · 선택률 0.23 · 승률 12.6% · 순방 51.2%
A | 전쟁기계 니달리 | 바이, 요릭, 바위 게, 아무무, 니달리, 자이라, 세주아니, 마오카이 | 빠른 8레벨 · 평균 4.47 · 선택률 0.06 · 승률 10.8% · 순방 50.7%
A | 적응가 마스터 이 | 요릭, 코그모, 바이, 돌거북, 니달리, 세트 | 7레벨 · 평균 4.48 · 선택률 0.06 · 승률 7.2% · 순방 51.7%
A | 약탈자 워윅 | 렉사이, 다이애나, 워윅, 어스름 늑대, 돌거북, 아지르, 덩굴정령, 말파이트 | 빠른 8레벨 · 3성 워윅·어스름 늑대 · 평균 4.49 · 선택률 0.13 · 승률 5.9% · 순방 51.9%
B | 개화 아리 | 바이, 요릭, 카르마, 아리, 자이라, 시비르, 나르, 세트, 애쉬 | 빠른 9레벨 · 평균 4.51 · 선택률 0.11 · 승률 12.2% · 순방 49.1%
B | 협곡야수 조약돌 | 조약돌, 바위 게, 어스름 늑대, 감시자, 돌거북, 덩굴정령, 불타는 묘목 | 빠른 9레벨 · 3성 조약돌·불타는 묘목 · 평균 4.51 · 선택률 0.28 · 승률 10.0% · 순방 49.9%
B | 처형자 유나라 | 유나라, 알리스타, 르블랑, 세트, 소라카, 이즈리얼, 아리 | 빠른 8레벨 · 3성 유나라·알리스타·르블랑 · 평균 4.51 · 선택률 0.02 · 승률 9.7% · 순방 50.6%
B | 협곡야수 감시자 | 아이번, 타릭, 감시자, 아무무, 마오카이, 케넨, 드레이븐, 장로 드래곤 | 빠른 9레벨 · 평균 4.53 · 선택률 0.80 · 승률 19.4% · 순방 48.6%
B | 전쟁기계 케이틀린 | 케이틀린, 바위 게, 트리스타나, 라칸, 바이, 세주아니, 시비르, 아무무 | 빠른 8레벨 · 3성 케이틀린·바위 게·세주아니 · 평균 4.54 · 선택률 0.10 · 승률 7.5% · 순방 50.5%
B | 날렵이 티모 | 코부코, 티모, 르블랑, 베이가, 모르가나, 헤카림, 알리스타, 감시자 | 빠른 8레벨 · 3성 티모·르블랑·알리스타 · 평균 4.54 · 선택률 0.02 · 승률 5.5% · 순방 50.3%
B | 선봉대 아리 | 아리, 감시자, 알룬, 엘리스, 카시오페아, 다이애나, 모르가나, 타릭, 피들스틱 | 빠른 9레벨 · 평균 4.54 · 선택률 0.07 · 승률 15.0% · 순방 48.0%
B | 요정 트리스타나 | 트리스타나, 라칸, 람머스, 렝가, 릴리아, 바이, 시비르 | 7레벨 리롤 · 3성 트리스타나·람머스·렝가 · 평균 4.59 · 선택률 0.08 · 승률 13.6% · 순방 47.9%
B | 지옥불 릴리아 | 바이, 쉔, 시비르, 아무무, 트리스타나, 릴리아, 케넨, 애쉬 | 빠른 9레벨 · 평균 4.59 · 선택률 0.10 · 승률 13.7% · 순방 47.3%
B | 속사포 케일 | 아칼리, 쉔, 케일, 세주아니, 레오나, 다이애나, 아펠리오스 | 빠른 8레벨 · 3성 쉔·케일·세주아니·레오나 · 평균 4.60 · 선택률 0.04 · 승률 10.2% · 순방 48.3%
B | 개화 세트 | 바이, 세트, 아무무, 나르, 시비르, 애쉬 | 빠른 9레벨 · 평균 4.61 · 선택률 0.03 · 승률 12.0% · 순방 46.9%
B | 전쟁기계 자이라 | 요릭, 바위 게, 아이번, 아지르, 바이, 세주아니, 아무무, 자이라, 마오카이 | 빠른 9레벨 · 평균 4.61 · 선택률 0.15 · 승률 11.0% · 순방 47.9%
B | 원시 니달리 | 시비르, 아무무, 바이, 감시자, 타릭, 니달리, 코그모, 바위 게 | 빠른 8레벨 · 평균 4.64 · 선택률 0.04 · 승률 7.8% · 순방 47.8%
B | 날렵이 베이가 | 베이가, 렉사이, 피들스틱, 람머스, 코부코, 티모, 나르 | 빠른 8레벨 · 3성 베이가·렉사이·코부코 · 평균 4.66 · 선택률 0.10 · 승률 6.3% · 순방 48.1%
B | 전쟁기계 니달리 | 바이, 바위 게, 시비르, 니달리, 아무무, 애쉬, 마오카이 | 빠른 8레벨 · 평균 4.67 · 선택률 0.05 · 승률 9.0% · 순방 46.8%
B | 기원자 코그모 | 조약돌, 모르가나, 돌거북, 감시자, 코그모, 티모, 헤카림 | 빠른 8레벨 · 평균 4.70 · 선택률 0.03 · 승률 6.7% · 순방 46.8%
